bin_start_utc,bin_end_utc,depth_5min_mm,mm_per_hr
2023-10-29 21:15:00+00:00,2023-10-29 21:20:00+00:00,0.0,0.0
2023-10-30 09:15:00+00:00,2023-10-30 09:20:00+00:00,0.0,0.0
2023-10-30 21:15:00+00:00,2023-10-30 21:20:00+00:00,0.0,0.0
2023-10-31 09:15:00+00:00,2023-10-31 09:20:00+00:00,0.0,0.0
2023-10-31 21:15:00+00:00,2023-10-31 21:20:00+00:00,0.0,0.0
2023-11-01 09:15:00+00:00,2023-11-01 09:20:00+00:00,0.0,0.0
2023-11-01 21:15:00+00:00,2023-11-01 21:20:00+00:00,0.0,0.0
2023-11-02 09:15:00+00:00,2023-11-02 09:20:00+00:00,0.0,0.0
2023-11-02 21:15:00+00:00,2023-11-02 21:20:00+00:00,0.0,0.0
2023-11-03 09:15:00+00:00,2023-11-03 09:20:00+00:00,0.0,0.0
2023-11-03 21:15:00+00:00,2023-11-03 21:20:00+00:00,0.0,0.0
2023-11-04 09:15:00+00:00,2023-11-04 09:20:00+00:00,0.0,0.0
2023-11-04 21:15:00+00:00,2023-11-04 21:20:00+00:00,0.0,0.0
2023-11-05 08:15:00+00:00,2023-11-05 08:20:00+00:00,0.0,0.0
2023-11-05 20:15:00+00:00,2023-11-05 20:20:00+00:00,0.0,0.0
2023-11-06 08:15:00+00:00,2023-11-06 08:20:00+00:00,0.0,0.0
2023-11-06 20:15:00+00:00,2023-11-06 20:20:00+00:00,0.0,0.0
2023-11-07 08:15:00+00:00,2023-11-07 08:20:00+00:00,0.0,0.0
2023-11-07 20:15:00+00:00,2023-11-07 20:20:00+00:00,0.0,0.0
2023-11-08 08:15:00+00:00,2023-11-08 08:20:00+00:00,0.0,0.0
2023-11-08 20:15:00+00:00,2023-11-08 20:20:00+00:00,0.0,0.0
2023-11-09 08:15:00+00:00,2023-11-09 08:20:00+00:00,0.0,0.0
2023-11-09 20:15:00+00:00,2023-11-09 20:20:00+00:00,0.0,0.0
2023-11-10 08:15:00+00:00,2023-11-10 08:20:00+00:00,0.0,0.0
2023-11-10 20:15:00+00:00,2023-11-10 20:20:00+00:00,0.0,0.0
2023-11-11 08:15:00+00:00,2023-11-11 08:20:00+00:00,0.0,0.0
2023-11-11 20:15:00+00:00,2023-11-11 20:20:00+00:00,0.0,0.0
2023-11-12 08:15:00+00:00,2023-11-12 08:20:00+00:00,0.0,0.0
2023-11-12 20:15:00+00:00,2023-11-12 20:20:00+00:00,0.0,0.0
2023-11-13 08:15:00+00:00,2023-11-13 08:20:00+00:00,0.0,0.0
2023-11-13 20:15:00+00:00,2023-11-13 20:20:00+00:00,0.0,0.0
2023-11-14 08:15:00+00:00,2023-11-14 08:20:00+00:00,0.0,0.0
