id,a_km,b,nugget,g1,d1_m,b1_deg,w1,g2,d2_m,b2_deg,w2,g3,d3_m,b3_deg,w3
12335605,44.617,1.713,0,16062,3432.118031,8.529608252,0.477480768,16055,5372.691437,236.1654407,0.295696937,16015,5571.108746,119.548468,0.226822296
12335604,44.617,1.713,0,16057,5200.156741,273.8388903,0.271639338,16028,4494.427572,160.4537991,0.387882918,16064,5047.06626,27.51450165,0.340477744
12335603,44.617,1.713,0,16062,1263.700591,21.65299183,0.736913564,16017,5313.409695,146.4485713,0.135081074,16057,5265.256105,261.6825572,0.128005362
12335602,44.617,1.713,0,16062,449.5765505,81.72415235,0.863569897,16057,5555.948343,250.3154292,0.059958417,16059,1542.14318,341.4098442,0.076471687
12335601,44.617,1.713,0,16064,2540.931297,63.17186715,0.073111406,16062,1127.652444,157.9411644,0.300765426,16059,622.0938955,304.4444508,0.626123169
12335600,44.617,1.713,0,16062,2192.12093,169.4304251,0.276370336,16060,3206.70657,258.7229134,0.448485722,16090,4873.612168,88.1888419,0.275143942
12335624,44.617,1.713,0,16046,3106.901962,351.8965036,0.226806915,16033,3687.012146,274.9963863,0.505651964,16034,7032.797694,88.86675999,0.267541121
12335623,44.617,1.713,0,16031,1035.096222,148.3135346,0.767371252,16033,3777.540818,257.9492443,0.126388523,16037,6256.281729,11.13809689,0.106240225
12335622,44.617,1.713,0,16033,4172.498518,242.935634,0.113737278,16046,981.9380662,330.6998944,0.710668442,16036,4057.224808,95.96890518,0.17559428
12335621,44.617,1.713,0,16031,3140.601105,170.8188043,0.475395741,16032,5632.655638,290.7522887,0.259038759,16039,5250.751796,56.69275907,0.265565499
12335620,44.617,1.713,0,16031,4237.402755,173.4984913,0.287148721,16032,5362.229322,279.5108456,0.331693116,16039,4713.353249,67.89640922,0.381158163
12335619,44.617,1.713,0,16018,5747.240818,321.6448908,0.163931364,16038,2966.85434,66.79590154,0.349623212,16046,2532.265516,192.4161974,0.486445424
12335618,44.617,1.713,0,16037,1249.787885,61.85591356,0.667409428,16046,3627.226453,188.973759,0.210966722,16018,4940.805121,313.4369767,0.121623849
12335617,44.617,1.713,0,16023,3306.001696,50.49860631,0.436718673,16046,4729.203827,187.1313394,0.305332818,16018,4272.766259,302.3655129,0.257948509
12335616,44.617,1.713,0,16037,1944.067109,146.9804366,0.570109467,16018,3816.505977,287.9705321,0.275049362,16021,4377.388898,39.73828048,0.154841171
12304107,44.617,1.713,0,16055,3505.626747,105.3153413,0.150934342,16066,851.6126871,339.0970248,0.76875672,16073,5533.411582,223.6760942,0.080308938
12304106,44.617,1.713,0,16055,3927.461468,121.2210838,0.402557663,16075,5381.73337,353.2500724,0.320747312,16069,5189.587552,227.3190947,0.276695026
12304105,44.617,1.713,0,16055,4585.289877,133.315701,0.450404644,16070,6091.654346,272.2473603,0.328620831,16058,6525.045792,23.38814943,0.220974525
12304104,44.617,1.713,0,16066,2560.959163,188.335631,0.442870035,16075,3197.385445,347.7667329,0.342610743,16057,2616.625829,85.74698,0.214519222
12304103,44.617,1.713,0,16061,2054.372539,94.43669947,0.294340766,16066,3664.944303,186.1675819,0.234386447,16075,2133.079169,340.8430417,0.471272787
12304102,44.617,1.713,0,16058,3665.619353,43.4886254,-0.036718594,16075,1158.112555,321.4030972,0.775085397,16057,3267.944311,128.3044615,0.261633197
12304101,44.617,1.713,0,16063,2786.903845,38.34644674,0.175853815,16075,772.5798207,254.635464,0.751991145,16057,4036.393305,140.967672,0.072155039
12304100,44.617,1.713,0,16075,1522.170638,210.2777197,0.57913767,16065,2669.055185,348.9509533,0.308215565,16060,4713.910202,99.53962879,0.112646765
12304099,44.617,1.713,0,16063,1684.377623,91.15559086,0.300844805,16075,2549.825162,198.0479717,0.259321461,16065,1601.411565,340.5203583,0.439833734
12304098,44.617,1.713,0,16075,3626.390263,192.9467773,0.025556488,16065,685.31711,305.7000995,0.881284045,16060,5495.414053,123.0980977,0.093159466
12300607,44.617,1.713,0,16066,960.2928518,35.89057994,0.84799227,16070,5721.977667,295.2512142,0.001650256,16073,4988.641844,216.3159677,0.150357474
12300606,44.617,1.713,0,16066,634.1343135,121.5549819,0.843719829,16075,5331.977378,2.516752811,0.082871669,16069,4603.710756,219.8245153,0.073408502
12300605,44.617,1.713,0,16061,3596.45031,55.38237366,0.242964914,16066,1531.836754,160.2443996,0.582158387,16070,5225.09515,272.427164,0.174876699
12300604,44.617,1.713,0,16070,5317.76769,260.3813202,0.231194762,16075,3112.922768,3.479693687,0.499303158,16055,5977.648566,135.6294252,0.26950208
12300603,44.617,1.713,0,16075,2004.269643,4.760394538,0.501572899,16070,5632.068484,249.2175417,0.20451011,16057,3577.170905,105.1249823,0.293916991
12300602,44.617,1.713,0,16075,899.0877529,9.198345264,0.861706647,16061,3165.109569,113.9798907,-0.011586129,16066,4792.33117,174.6125079,0.149879482
12300601,44.617,1.713,0,16075,253.152434,151.419612,0.966986096,16065,3730.910512,5.800271419,0.056088306,16060,5546.020843,86.78544577,-0.023074402
12300600,44.617,1.713,0,16065,2626.004513,7.756823091,0.337990398,16075,1335.773538,175.7717985,0.69410832,16060,5572.232243,98.24236293,-0.032098718
12300599,44.617,1.713,0,16065,1528.587473,12.536731,0.6453864,16075,2443.15067,178.2206792,0.391554738,16063,2550.385872,91.15874047,-0.036941138
12300598,44.617,1.713,0,16065,491.6758843,38.96274402,0.943847806,16074,7878.653316,232.3615426,0.051295587,16060,6247.07432,118.8938116,0.004856608
12353127,44.617,1.713,0,16036,5213.13568,357.7523286,0.396943857,16035,8221.00666,51.90656058,0.306816168,16033,8787.410417,295.1357614,0.296239975
12353126,44.617,1.713,0,16036,4105.53309,356.8566023,-0.001323981,16031,4514.044099,304.098934,0.675632935,16035,7569.158345,58.43541767,0.325691046
12353125,44.617,1.713,0,16034,3017.248009,63.82355802,0.681049296,16036,2999.673426,355.2997022,-0.175382277,16031,4018.238813,290.7085771,0.49433298
12353124,44.617,1.713,0,16034,2696.210041,85.29309886,0.604701794,16031,3792.092028,274.7063418,0.422250896,16039,6295.763383,0.981473888,-0.026952691
12353123,44.617,1.713,0,16034,2810.575607,108.4294678,0.509427649,16031,3883.009477,258.1309932,0.351115862,16039,5185.798076,0.962984354,0.139456489
12353122,44.617,1.713,0,16034,3315.593106,127.0634042,0.056341085,16036,458.4759509,222.1821939,0.858000274,16039,4075.831795,0.934361137,0.085658641
12353121,44.617,1.713,0,16034,4068.295456,139.8159831,0.367068133,16046,4847.357905,267.9749114,0.1963002,16039,2965.865486,0.884226721,0.436631667
12377612,44.617,1.713,0,16008,5162.824257,6.113849771,0.190130198,16045,3525.321834,146.059916,0.417679335,16020,2887.746441,279.3244024,0.392190467
12353120,44.617,1.713,0,16036,2583.014506,187.7709272,0.398008966,16048,2681.985103,72.70188444,0.369147938,16037,4310.652382,312.1232004,0.232843096
12377611,44.617,1.713,0,16008,4058.425451,7.503484343,0.347946853,16045,4480.309656,154.2224492,0.298823316,16020,2940.398452,257.3905385,0.353229831
12377610,44.617,1.713,0,16020,3378.887513,238.7735285,0.624720435,16011,4250.843339,332.8565831,-0.060530324,1720,4867.595175,33.50509222,0.435809889
12377609,44.617,1.713,0,16019,1051.415793,205.2292279,0.754979105,16011,3314.045201,323.7588565,0.082049638,1720,3976.154212,42.12622647,0.162971257
12377608,44.617,1.713,0,16019,2113.395088,192.795494,0.314316511,16029,1226.824497,306.6690645,0.494510177,1720,3223.375828,55.20922471,0.191173312
12377607,44.617,1.713,0,16008,612.7595541,132.6925809,0.594359802,16029,1072.441633,249.4106237,0.218288634,16010,1631.305728,350.2609909,0.187351564
12377606,44.617,1.713,0,16029,1805.340232,214.5498068,0.163809673,16010,579.2576442,329.2854716,0.706164347,1720,2634.955206,98.30040451,0.13002598
12377605,44.617,1.713,0,1720,2985.883639,119.9389901,0.454434402,16013,3510.803768,243.9161081,0.290275095,16093,4335.312255,344.486123,0.255290503
12377604,44.617,1.713,0,16093,3286.506131,338.9679975,0.289636625,16013,4136.387031,230.0969587,0.265868761,2790,2739.967324,95.71059271,0.444494615
12353119,44.617,1.713,0,16039,745.9648022,0.335329058,0.813487256,16036,3687.679405,185.7577973,0.149765905,16048,2559.104895,97.00978567,0.036746839
12353118,44.617,1.713,0,16030,3441.789268,17.30921042,0.182665624,16038,1641.219399,274.9413642,0.53280626,16047,3156.418593,139.7807135,0.284528116
12353117,44.617,1.713,0,16030,2396.291773,24.75226137,0.412181141,16048,3557.130757,135.379535,0.266030265,16037,3288.663556,262.344973,0.321788594
12353116,44.617,1.713,0,16030,1450.035801,42.65933091,0.477457085,16039,2584.047343,181.2811122,0.279544096,16023,2105.198976,300.7176491,0.242998818
12353115,44.617,1.713,0,16030,962.8572981,92.58568434,0.670510533,16021,2812.08032,326.262898,0.197635559,16038,3611.650001,208.0306479,0.131853908
12353114,44.617,1.713,0,16026,1074.344458,67.75659515,0.632875374,16021,2003.519112,307.8271594,0.251722637,16038,4628.437486,201.7886192,0.115401989
12353113,44.617,1.713,0,16026,1200.992354,125.8339554,0.607768237,16027,2547.284665,11.76565448,0.196530212,16024,3257.022503,262.1416164,0.195701551
12353112,44.617,1.713,0,16027,1471.074732,19.81533224,0.491652519,16026,2048.091926,152.2718766,0.344376777,16025,3226.413014,267.8477338,0.163970704
12353111,44.617,1.713,0,16021,2667.93071,218.0592561,0.444355707,16016,4224.297592,350.235351,0.26175198,16020,3288.816577,103.2364179,0.293892313
12353110,44.617,1.713,0,16027,952.5154303,151.3155063,0.761403131,16014,4989.928443,257.1428137,0.113204043,16013,4925.748752,37.76083253,0.125392825
12353109,44.617,1.713,0,16027,1993.773556,167.3553359,0.509205435,16028,3061.391337,297.1268202,0.331214696,16011,4843.000979,58.06494243,0.159579869
12353108,44.617,1.713,0,16015,879.2419191,40.93361371,0.69671674,16027,3083.367178,172.2519476,0.148802142,16028,2760.255171,275.9488967,0.154481119
12353107,44.617,1.713,0,16015,711.962845,128.742508,0.489028415,16016,845.7869783,250.9472139,0.449033258,16006,4738.327097,23.34835985,0.061938327
12353106,44.617,1.713,0,16006,3734.951864,29.81696923,0.203312918,16098,1869.061154,121.285305,0.267957794,16017,1675.970553,232.6649586,0.528729288
12353105,44.617,1.713,0,16006,2812.855026,40.75666156,0.468362146,16017,2520.399134,212.476462,0.526679089,16013,3349.863065,119.6040071,0.004958765
12353104,44.617,1.713,0,16006,2082.935366,60.65116393,0.551049566,16062,4514.513053,301.6161495,0.180146596,16016,3707.06799,193.4421093,0.268803837
